                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1005,                 1.1138,                  1.127,                0.80198,                0.96994,                  0.995,                0.59769,                 1.1784,                 1.0195,                 1.3436,              0.0005309,              0.0005309,              0.0005309
                     48,                 1.0633,                 1.0432,                 1.1032,                0.80198,                0.96994,                  0.995,                0.59769,                 1.1784,                 1.0195,                 1.3436,             0.00052526,             0.00052526,             0.00052526
                     49,                 1.0311,                 1.0331,                 1.0917,                0.78036,                0.92251,                  0.995,                 0.6217,                 1.1272,                 1.0076,                 1.3037,             0.00051955,             0.00051955,             0.00051955
                     50,                 1.0277,                 1.1357,                 1.1492,                0.78036,                0.92251,                  0.995,                 0.6217,                 1.1272,                 1.0076,                 1.3037,             0.00051375,             0.00051375,             0.00051375
                     51,                 1.0511,                 1.0534,                 1.0687,                0.78036,                0.92251,                  0.995,                 0.6217,                 1.1272,                 1.0076,                 1.3037,             0.00050787,             0.00050787,             0.00050787
                     52,                  1.028,                 1.0645,                 1.1399,                0.79563,                0.93181,                  0.995,                0.66297,                 1.0939,                0.88257,                 1.2703,             0.00050192,             0.00050192,             0.00050192
                     53,                 1.0463,                 1.0819,                 1.1543,                0.79563,                0.93181,                  0.995,                0.66297,                 1.0939,                0.88257,                 1.2703,             0.00049589,             0.00049589,             0.00049589
                     54,                0.92808,                0.95936,                 1.0847,                0.79563,                0.93181,                  0.995,                0.66297,                 1.0939,                0.88257,                 1.2703,              0.0004898,              0.0004898,              0.0004898
                     55,                 1.1213,                  1.066,                 1.1503,                0.79528,                0.96271,                  0.995,                0.64763,                 1.0918,                0.85519,                 1.2717,             0.00048364,             0.00048364,             0.00048364
                     56,                 1.0422,                 1.0576,                 1.1005,                0.79528,                0.96271,                  0.995,                0.64763,                 1.0918,                0.85519,                 1.2717,             0.00047741,             0.00047741,             0.00047741
                     57,                 1.0391,                 1.0217,                  1.084,                0.87638,                0.97086,                  0.995,                0.67746,                  1.101,                0.81767,                 1.2809,             0.00047113,             0.00047113,             0.00047113
                     58,                0.99263,                 1.0741,                 1.1476,                0.87638,                0.97086,                  0.995,                0.67746,                  1.101,                0.81767,                 1.2809,             0.00046478,             0.00046478,             0.00046478
                     59,                0.98979,                0.98875,                 1.0638,                0.87638,                0.97086,                  0.995,                0.67746,                  1.101,                0.81767,                 1.2809,             0.00045838,             0.00045838,             0.00045838
                     60,                0.91673,                0.92654,                 1.0678,                0.90157,                 0.9528,                  0.995,                 0.6528,                 1.1126,                0.79452,                  1.295,             0.00045192,             0.00045192,             0.00045192
                     61,                0.98122,                 0.9386,                 1.0538,                0.90157,                 0.9528,                  0.995,                 0.6528,                 1.1126,                0.79452,                  1.295,             0.00044542,             0.00044542,             0.00044542
                     62,                0.94789,                0.92793,                 1.0245,                0.90157,                 0.9528,                  0.995,                 0.6528,                 1.1126,                0.79452,                  1.295,             0.00043886,             0.00043886,             0.00043886
                     63,                 0.9079,                0.92696,                 1.0726,                0.91174,                0.94626,                  0.995,                0.65672,                  1.091,                0.74857,                 1.2768,             0.00043226,             0.00043226,             0.00043226
                     64,                0.92151,                0.93073,                  1.096,                0.91174,                0.94626,                  0.995,                0.65672,                  1.091,                0.74857,                 1.2768,             0.00042562,             0.00042562,             0.00042562
                     65,                0.90259,                0.94853,                 1.0692,                0.89391,                0.96095,                  0.995,                0.67191,                 1.0443,                 0.7267,                 1.2509,             0.00041894,             0.00041894,             0.00041894
                     66,                 0.9747,                 1.0068,                 1.1207,                0.89391,                0.96095,                  0.995,                0.67191,                 1.0443,                 0.7267,                 1.2509,             0.00041223,             0.00041223,             0.00041223
                     67,                0.96775,                 0.8697,                  1.021,                0.89391,                0.96095,                  0.995,                0.67191,                 1.0443,                 0.7267,                 1.2509,             0.00040548,             0.00040548,             0.00040548
                     68,                0.99613,                0.91111,                 1.0777,                0.91062,                      1,                  0.995,                0.69256,                0.99443,                0.70404,                 1.2265,              0.0003987,              0.0003987,              0.0003987
                     69,                 1.0306,                0.96698,                 1.0636,                0.91062,                      1,                  0.995,                0.69256,                0.99443,                0.70404,                 1.2265,              0.0003919,              0.0003919,              0.0003919
                     70,                0.93201,                 0.9344,                 1.0776,                0.91062,                      1,                  0.995,                0.69256,                0.99443,                0.70404,                 1.2265,             0.00038507,             0.00038507,             0.00038507
                     71,                0.97297,                0.91876,                 1.0553,                0.88049,                      1,                  0.995,                0.68333,                0.98655,                 0.7164,                 1.2267,             0.00037822,             0.00037822,             0.00037822
                     72,                0.96158,                0.95862,                 1.1099,                0.88049,                      1,                  0.995,                0.68333,                0.98655,                 0.7164,                 1.2267,             0.00037135,             0.00037135,             0.00037135
                     73,                0.94001,                0.88573,                 1.0301,                0.89937,                      1,                  0.995,                0.67995,                0.96377,                0.69985,                  1.222,             0.00036446,             0.00036446,             0.00036446
                     74,                 0.9998,                 0.9576,                 1.0974,                0.89937,                      1,                  0.995,                0.67995,                0.96377,                0.69985,                  1.222,             0.00035757,             0.00035757,             0.00035757
                     75,                0.91884,                0.90784,                 1.0699,                0.89937,                      1,                  0.995,                0.67995,                0.96377,                0.69985,                  1.222,             0.00035066,             0.00035066,             0.00035066
                     76,                0.98789,                0.91958,                 1.0033,                0.93038,                0.99255,                  0.995,                0.68723,                0.95988,                0.67426,                 1.2167,             0.00034375,             0.00034375,             0.00034375
                     77,                0.97475,                0.95745,                 1.0774,                0.93038,                0.99255,                  0.995,                0.68723,                0.95988,                0.67426,                 1.2167,             0.00033684,             0.00033684,             0.00033684
                     78,                 0.8556,                0.87036,                 1.0561,                0.93038,                0.99255,                  0.995,                0.68723,                0.95988,                0.67426,                 1.2167,             0.00032992,             0.00032992,             0.00032992
                     79,                0.97177,                0.88293,                 1.0709,                0.93328,                0.98323,                  0.995,                0.69192,                0.96094,                0.65731,                 1.2134,             0.00032301,             0.00032301,             0.00032301
                     80,                0.85508,                0.85875,                0.97665,                0.93328,                0.98323,                  0.995,                0.69192,                0.96094,                0.65731,                 1.2134,              0.0003161,              0.0003161,              0.0003161
                     81,                0.89861,                0.87311,                 1.0592,                0.94109,                0.97681,                  0.995,                0.69995,                 0.9753,                0.66209,                  1.211,             0.00030921,             0.00030921,             0.00030921
                     82,                0.95115,                0.90739,                 1.0747,                0.94109,                0.97681,                  0.995,                0.69995,                 0.9753,                0.66209,                  1.211,             0.00030232,             0.00030232,             0.00030232
                     83,                0.97917,                0.90927,                 1.0107,                0.94109,                0.97681,                  0.995,                0.69995,                 0.9753,                0.66209,                  1.211,             0.00029545,             0.00029545,             0.00029545
                     84,                0.89483,                0.95179,                 1.0889,                 0.9354,                      1,                  0.995,                0.69247,                 1.0178,                0.66428,                 1.2239,              0.0002886,              0.0002886,              0.0002886
                     85,                0.97699,                0.86509,                 1.0705,                 0.9354,                      1,                  0.995,                0.69247,                 1.0178,                0.66428,                 1.2239,             0.00028177,             0.00028177,             0.00028177
                     86,                0.92218,                 0.8392,                  1.044,                 0.9354,                      1,                  0.995,                0.69247,                 1.0178,                0.66428,                 1.2239,             0.00027497,             0.00027497,             0.00027497
                     87,                 1.0112,                0.90201,                 1.0701,                0.93376,                0.98929,                  0.995,                0.68854,                 1.0368,                0.66357,                 1.2294,             0.00026819,             0.00026819,             0.00026819
                     88,                0.98122,                0.93069,                 1.0682,                0.93376,                0.98929,                  0.995,                0.68854,                 1.0368,                0.66357,                 1.2294,             0.00026144,             0.00026144,             0.00026144
                     89,                  1.009,                0.92818,                 1.0402,                0.91908,                0.99484,                  0.995,                0.70865,                 1.0283,                0.65766,                 1.2227,             0.00025473,             0.00025473,             0.00025473
                     90,                0.95162,                0.90706,                  1.011,                0.91908,                0.99484,                  0.995,                0.70865,                 1.0283,                0.65766,                 1.2227,             0.00024805,             0.00024805,             0.00024805
